"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"107/01/02","3,613,199","298,033,251","82.15","82.60","82.15","82.60","+0.45","1,795",
"107/01/03","7,196,437","599,476,413","82.95","83.45","82.95","83.35","+0.75","3,014",
"107/01/04","5,627,565","469,312,820","83.50","83.65","83.20","83.50","+0.15","2,278",
"107/01/05","7,616,796","636,768,692","83.50","83.80","83.30","83.75","+0.25","2,562",
"107/01/08","5,189,611","435,775,639","83.80","84.15","83.70","84.10","+0.35","2,282",
"107/01/09","3,664,716","308,057,554","84.10","84.25","83.90","84.15","+0.05","1,340",
"107/01/10","5,749,597","482,358,793","84.10","84.25","83.55","83.75","-0.40","1,073",
"107/01/11","2,579,225","214,867,793","83.65","83.70","83.10","83.40","-0.35","735",
"107/01/12","2,871,193","241,214,778","83.55","84.20","83.50","84.10","+0.70","1,002",
"107/01/15","2,819,852","238,493,616","84.55","84.70","84.40","84.65","+0.55","1,126",
"107/01/16","3,955,841","335,496,385","84.65","85.00","84.50","85.00","+0.35","1,295",
"107/01/17","5,698,268","485,174,071","84.65","85.45","84.65","85.15","+0.15","2,017",
"107/01/18","6,898,803","594,091,024","85.50","86.55","85.50","86.30","+1.15","2,272",
"107/01/19","5,302,072","461,040,360","86.35","87.15","86.35","87.15","+0.85","1,445",
"107/01/22","4,441,061","389,066,253","87.15","87.95","87.15","87.95","+0.80","1,746",
"107/01/23","5,799,932","511,405,502","88.05","88.40","87.90","88.30","+0.35","1,842",
"107/01/24","5,103,429","444,907,065","88.00","88.00","86.85","87.20","-1.10","1,869",
"107/01/25","4,983,684","436,967,956","87.25","88.30","87.15","87.45","+0.25","1,652",
"107/01/26","7,774,673","678,481,509","87.45","87.60","86.85","87.50","+0.05","3,087",
"107/01/29","6,445,797","551,350,942","85.50","86.15","85.20","85.55","X0.00","3,453",
"107/01/30","4,966,261","421,572,779","85.20","85.35","84.50","84.55","-1.00","2,337",
"107/01/31","4,251,739","359,040,915","84.40","85.00","84.15","84.65","+0.10","1,176",


