ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/09/01,"5,965,179","411,120,094",69.3,69.3,68.6,69.05,-0.35,"1,212"
105/09/02,"2,615,482","180,788,881",69.1,69.3,68.8,69.15,0.1,577
105/09/05,"8,523,041","597,721,933",69.8,70.3,69.8,70.3,1.15,"1,576"
105/09/06,"7,342,971","518,714,114",70.25,70.9,70.25,70.85,0.55,"1,940"
105/09/07,"9,686,777","693,084,535",70.95,71.9,70.95,71.85,1,"2,834"
105/09/08,"4,674,329","334,565,799",71.8,71.8,71.4,71.6,-0.25,724
105/09/09,"5,230,374","368,985,083",70.9,70.9,70.35,70.4,-1.2,"1,163"
105/09/10,"8,825,756","612,259,307",69.15,69.6,69,69.4,-1,"1,835"
105/09/12,"7,236,436","498,384,107",69.35,69.35,68.7,68.85,-0.55,"1,986"
105/09/13,"7,123,286","490,199,734",69.1,69.2,68.2,68.85,0,"1,413"
105/09/14,"5,624,161","386,564,787",68.5,69.05,68.45,68.45,-0.4,"1,162"
105/09/19,"9,887,905","695,261,205",69.4,71,69.4,71,2.55,"2,918"
105/09/20,"2,795,180","197,878,706",70.9,71,70.6,70.9,-0.1,796
105/09/21,"12,156,219","864,927,150",70.75,71.35,70.55,71.25,0.35,"3,370"
105/09/22,"4,929,382","352,530,819",71.9,72,71.25,71.4,0.15,"1,128"
105/09/23,"4,215,738","302,470,817",71.5,71.9,71.4,71.9,0.5,"1,607"
105/09/26,"3,736,578","265,907,989",71.5,71.5,71,71,-0.9,765
105/09/29,"9,624,483","691,781,380",71.85,72.15,71.4,71.9,0.9,"2,068"
105/09/30,"5,843,939","415,283,648",71.15,71.35,70.8,70.95,-0.95,820
